test_image,best_train_match,ransac_inliers,verdict,above_threshold_25,score_provenance
gingivitis-1633-_jpg.rf.c42799e09ac1984acc19564b6a81e4dc.jpg,gingivitis-1893-_jpg.rf.b17d510d56754e0b465ba4954d88c8cb.jpg,475,duplicate,yes,original_run
hypodontia-119-_jpg.rf.7d1750cd201de86de6e6ece121db24bc.jpg,hypodontia-1231-_jpg.rf.6fbd006ace7569ccf8292d197e96df44.jpg,465,duplicate,yes,original_run
caries-1419-_jpeg.rf.2691ecc02eaf196b325139701d72aa73.jpg,caries-490-_jpeg.rf.2c581b36221b172fa425c1ca2bad755d.jpg,458,duplicate,yes,original_run
calcu-204-copy_jpg.rf.5dbd2b0133e95db07b3d090e7b2c81a4.jpg,calculus-870-_jpg.rf.f6df9123dbe40984042cf49ed8408f2f.jpg,451,duplicate,yes,original_run
caries-1813-_jpeg.rf.2dd9cccf97fded480e7bf0fc7765f503.jpg,caries-1332-_jpeg.rf.cf2b8f2d527e635ff9716de2e203842d.jpg,450,duplicate,yes,original_run
gingivitis-1743-_jpg.rf.2cca41ee8b96ebf18aacb952b3aab3fd.jpg,gingivitis-2258-_jpg.rf.1c58a044d815ac4ef4546e45b761990c.jpg,443,duplicate,yes,original_run
gingivitis-47-_jpg.rf.0446ed73aa5e4e9ca923d3f0e2ea6ad2.jpg,gingivitis-1621-_jpg.rf.f5fc30c516fa9e1dc98a69d752a8aebe.jpg,433,duplicate,yes,original_run
calculus-946-_jpg.rf.72a16ee27a2f26f2826ee55ce2e3c887.jpg,calculus-1234-_jpg.rf.380fe1bfde08b0ebb630d45840beab4d.jpg,425,duplicate,yes,original_run
gingivitis-1576-_jpg.rf.1adb57252953173f3f9c4c3ec55ee905.jpg,gingivitis-2095-_jpg.rf.64bf35ab1ded4cde6db4e793d333f357.jpg,383,duplicate,yes,original_run
calcu-551-copy_jpg.rf.204fcda672761384497b3b70d511326a.jpg,calculus-742-_jpg.rf.d187903173846bb84b01a697050fcded.jpg,382,duplicate,yes,original_run
