test_image,train_image,rms_distance,test_source,train_source
hypodontia-133-_jpg.rf.07d42748e2286efb090174bc6542512d.jpg,hypodontia-1245-_jpg.rf.da535ef32a39dac8d2ec02020e42ddaf.jpg,0.6731,hypodontia-133-_jpg,hypodontia-1245-_jpg
hypodontia-93-_JPG.rf.9ee73132654d2581f909628837eda797.jpg,hypodontia-1205-_JPG.rf.973bca228819b6688b136d756668c863.jpg,0.6775,hypodontia-93-_JPG,hypodontia-1205-_JPG
calculus-16-_jpg.rf.67d4dbaa4b38556db9e18cea0704850a.jpg,gingivitis-2208-_jpg.rf.89797dacf54fe7a5e168a3fc30256a6f.jpg,0.6847,calculus-16-_jpg,gingivitis-2208-_jpg
calculus-106-_jpg.rf.642e519b7e7aff2de02f2ae9b6c9a165.jpg,calculus-1214-_jpg.rf.0f86e03c59cf892792815ab573dfd845.jpg,0.6875,calculus-106-_jpg,calculus-1214-_jpg
calculus-78-_jpg.rf.991fd7641752f22a2daea88800e53252.jpg,gingivitis-2280-_jpg.rf.88942f9f8dd243b579387f4aad06858f.jpg,0.6875,calculus-78-_jpg,gingivitis-2280-_jpg
gingivitis-2330-_jpg.rf.aeeebb91a42a04dde7fbb257a33cce01.jpg,gingivitis-242-_jpg.rf.4056eb5076b7f0a0012ecf85a560a099.jpg,0.6875,gingivitis-2330-_jpg,gingivitis-242-_jpg
gingi-369-copy_jpg.rf.25fdf7e0978e4d93f432aa0f53212427.jpg,gingi-193-copy_jpg.rf.abc04a650c2cea9be0bffc79363e1e85.jpg,0.6974,gingi-369-copy_jpg,gingi-193-copy_jpg
gingivitis-148-_jpg.rf.7fef27efa310f3e814a37b68d735c005.jpg,gingivitis-2236-_jpg.rf.1cef3f1a3ee0314fffe7188cf686bc83.jpg,0.6988,gingivitis-148-_jpg,gingivitis-2236-_jpg
gingivitis-162-_jpg.rf.f851385a6417356af78944f7fa7db11c.jpg,gingivitis-2250-_jpg.rf.a5ca11091422864829bff6af8273e19a.jpg,0.7016,gingivitis-162-_jpg,gingivitis-2250-_jpg
gingivitis-172-_jpg.rf.54572a4de8f2412788385d5140bca336.jpg,gingivitis-2147-_jpg.rf.10cb847e003088f0e9e8ab4214143a5f.jpg,0.7208,gingivitis-172-_jpg,gingivitis-2147-_jpg
calculus-31-_jpg.rf.063fc1c3ae4b985a5a4afb4527a9b894.jpg,calculus-1183-_jpg.rf.d91b814ef97d5c7a97e37c3c32e3d080.jpg,0.7295,calculus-31-_jpg,calculus-1183-_jpg
gingilagi-246-_jpg.rf.ba0e21eaf7f8a7b726217d055f93885b.jpg,gingilagi-245-_jpg.rf.e09480c0e78621ae2974d6e68237af15.jpg,0.7395,gingilagi-246-_jpg,gingilagi-245-_jpg
hypodontia-1173-_JPG.rf.9d97e75b8bb1f91c12ac6b7d34101ef5.jpg,hypodontia-61-_JPG.rf.b69d29b93eb22a17323bd268fdbb5386.jpg,0.7421,hypodontia-1173-_JPG,hypodontia-61-_JPG
gingilagi-98-_jpg.rf.227c7eb5ca64d77a8cc1f93fd88b96a2.jpg,gingilagi-38-_jpg.rf.3850f26b3895ddd9e80df57aef554e8e.jpg,0.7500,gingilagi-98-_jpg,gingilagi-38-_jpg
gingilagi-118-_jpg.rf.cd0d2b1043ed0222b42c04b894996004.jpg,gingilagi-165-_jpg.rf.bc7dbb2bf0cf81a705a87adb3027d2a3.jpg,0.7552,gingilagi-118-_jpg,gingilagi-165-_jpg
gingivitis-2235-_jpg.rf.a5137618aa9f5ed606009f7e53608443.jpg,gingivitis-147-_jpg.rf.665fad408f5113ecfbfa729ce0b575e1.jpg,0.7552,gingivitis-2235-_jpg,gingivitis-147-_jpg
gingilagi-106-_jpg.rf.2f6dd606382a362c15734197020e80e9.jpg,gingilagi-47-_jpg.rf.7ef13c2e444b8b3a44058f592378220e.jpg,0.7578,gingilagi-106-_jpg,gingilagi-47-_jpg
gingilagi-180-_jpg.rf.20fbdcf0818be49fea075d286289b0d6.jpg,gingilagi-204-_jpg.rf.89d4fdf5102e6f46601a5c66f5cd7500.jpg,0.7578,gingilagi-180-_jpg,gingilagi-204-_jpg
gingilagi-199-_jpg.rf.d9e09f67d88ef6c9fd9c7997c26969ee.jpg,gingilagi-200-_jpg.rf.c57ea79361359cca43aedc94823918e1.jpg,0.7578,gingilagi-199-_jpg,gingilagi-200-_jpg
gingivitis-2106-_jpg.rf.021b8e23bd98ed1d4f7bcf04091f8ae5.jpg,gingivitis-14-_jpg.rf.f8ec4f52b59b27364a9624e2ab47f032.jpg,0.7578,gingivitis-2106-_jpg,gingivitis-14-_jpg
gingilagi-103-_jpg.rf.f29a8bcc7f293da3131b786287dd5761.jpg,gingilagi-8-_jpg.rf.e16ad8cac9c35b1deeca55c523dcf723.jpg,0.7603,gingilagi-103-_jpg,gingilagi-8-_jpg
gingilagi-315-_jpg.rf.d51ba47ff99f326d0e7861a4ecce1625.jpg,gingilagi-328-_jpg.rf.410c1eb6e500ad4e3ec76b2485c60ae7.jpg,0.7603,gingilagi-315-_jpg,gingilagi-328-_jpg
hypodontia-119-_jpg.rf.7d1750cd201de86de6e6ece121db24bc.jpg,hypodontia-1231-_jpg.rf.6fbd006ace7569ccf8292d197e96df44.jpg,0.7603,hypodontia-119-_jpg,hypodontia-1231-_jpg
gingilagi-319-_jpg.rf.9abda0efe0d7debcdc217a287d8311a4.jpg,gingilagi-320-_jpg.rf.82227fa836a0d82b82b670ffc8a5aff2.jpg,0.7655,gingilagi-319-_jpg,gingilagi-320-_jpg
hypodontia-85-_jpg.rf.0472d96117aff4a8869d7dca5eb4a890.jpg,hypodontia-1197-_jpg.rf.c0cac5228636a2fa3971e0c3c5bc02e0.jpg,0.7706,hypodontia-85-_jpg,hypodontia-1197-_jpg
gingivitis-111-_jpg.rf.8309496c9fd80286039df006396c2faa.jpg,gingivitis-2200-_jpg.rf.c0507608bc53a8f26dc48b86253fea91.jpg,0.7731,gingivitis-111-_jpg,gingivitis-2200-_jpg
gingilagi-64-_jpg.rf.0c1d3c97e7990cf462ec96c510e8f6b4.jpg,gingilagi-35-_jpg.rf.c54747ceaa696fa632c06707fedcb41b.jpg,0.7756,gingilagi-64-_jpg,gingilagi-35-_jpg
gingivitis-51-_jpg.rf.663e953dda3d7c898d2a33dd309d8eaf.jpg,gingivitis-2143-_jpg.rf.ac2fe67a1934109b5e54dacec0e42e09.jpg,0.7769,gingivitis-51-_jpg,gingivitis-2143-_jpg
gingilagi-27-_jpg.rf.c953c51c142e2607f243d7331b9cfa7d.jpg,gingilagi-69-_jpg.rf.9a68becfa5d8ffbd8454a1b37069ad21.jpg,0.7781,gingilagi-27-_jpg,gingilagi-69-_jpg
gingilagi-331-_jpg.rf.9f6cdfaaa51b3a63525c44964db4d0dd.jpg,gingilagi-332-_jpg.rf.4b6084eeab5746d26fecc5dbcd164f02.jpg,0.7806,gingilagi-331-_jpg,gingilagi-332-_jpg
gingilagi-84-_jpg.rf.4f8a40780e7f4b62909630d73b08edf6.jpg,gingilagi-52-_jpg.rf.ddd5e0383a878ee2bdff5b9fd6fd5a98.jpg,0.7856,gingilagi-84-_jpg,gingilagi-52-_jpg
gingivitis-53-_jpg.rf.da0e557122269772ffc5309e3588df2a.jpg,gingivitis-2145-_jpg.rf.87547ce62867d16d78ea7a31d30b155f.jpg,0.7856,gingivitis-53-_jpg,gingivitis-2145-_jpg
gingilagi-201-_jpg.rf.abc8453cf4aa6e9ac86e94ce43910812.jpg,gingilagi-202-_jpg.rf.c97b60fc2b4d1bdac4d98b7888955f29.jpg,0.7906,gingilagi-201-_jpg,gingilagi-202-_jpg
gingivitis-17-_jpg.rf.abe68dfa78aaf3484716b78a63b78fc4.jpg,gingivitis-2109-_jpg.rf.c7b38e4e95a95e73c11ffb254a86e47d.jpg,0.7906,gingivitis-17-_jpg,gingivitis-2109-_jpg
gingilagi-224-_jpg.rf.74c297c887b1fdcc64972695100d0c26.jpg,gingilagi-223-_jpg.rf.37d64dbc4fa9ba3f6e4ed49fcc270f8b.jpg,0.8101,gingilagi-224-_jpg,gingilagi-223-_jpg
gingilagi-234-_jpg.rf.6cbc6e8d6fc668ad41dcbf68116a659c.jpg,gingilagi-248-_jpg.rf.c4f068e1a0b02671bbba7822229301da.jpg,0.8101,gingilagi-234-_jpg,gingilagi-248-_jpg
gingilagi-212-_jpg.rf.cabbcf40fc62f1adb79c2137afda7a89.jpg,gingilagi-211-_jpg.rf.5c78904823ca47ba21f15421dce27a28.jpg,0.8149,gingilagi-212-_jpg,gingilagi-211-_jpg
gingilagi-41-_jpg.rf.6bee8f4beb361222656520aa24a9b4bf.jpg,gingilagi-67-_jpg.rf.267abc22357daf7fc6967fa7458deda2.jpg,0.8173,gingilagi-41-_jpg,gingilagi-67-_jpg
gingilagi-277-_jpg.rf.9fe777d1d72d4eaa163064b92a2ed9b4.jpg,gingilagi-278-_jpg.rf.db0972a30465ece48eaabaad3cba0560.jpg,0.8197,gingilagi-277-_jpg,gingilagi-278-_jpg
gingivitis-2206-_jpg.rf.e736df2d7eb742ead8a6d49eb508cbbd.jpg,gingivitis-118-_jpg.rf.959c47b9f8d29f5fc7ab2cb07141787f.jpg,0.8268,gingivitis-2206-_jpg,gingivitis-118-_jpg
gingilagi-91-_jpg.rf.541bc639822bc4826ad073fba146ccab.jpg,gingilagi-72-_jpg.rf.f011465dfd8c9314a112858d22132cc0.jpg,0.8292,gingilagi-91-_jpg,gingilagi-72-_jpg
hypodontia-1222-_jpg.rf.c17bfc09852f077846d69eebe2bd8c55.jpg,hypodontia-110-_jpg.rf.1e955c977907e23d03408773ebe0c981.jpg,0.8397,hypodontia-1222-_jpg,hypodontia-110-_jpg
gingi-376-copy_jpg.rf.16d5906325d55ecb8e3218f782d9db66.jpg,calcu-230-copy_jpg.rf.6284aab823e498c44b466684e0da8a55.jpg,0.8432,gingi-376-copy_jpg,calcu-230-copy_jpg
calculus-103-_jpg.rf.1873a4bad0ff15290337af9651cd8cac.jpg,calculus-1255-_jpg.rf.e0aa83d1a81fedf9d0bda70daf7ea741.jpg,0.8478,calculus-103-_jpg,calculus-1255-_jpg
gingilagi-275-_jpg.rf.0ebb49078576b53595be42d8d9f32bc2.jpg,gingilagi-276-_jpg.rf.a0948d4663cdb140360f19bdf3783b1f.jpg,0.8478,gingilagi-275-_jpg,gingilagi-276-_jpg
hypodontia-1211-_JPG.rf.d941821df69ee8ef36efbda3713fb368.jpg,hypodontia-99-_JPG.rf.b8629193c80ef610f36caf3e25b82801.jpg,0.8501,hypodontia-1211-_JPG,hypodontia-99-_JPG
gingivitis-230-_jpg.rf.963d0ab371ad8b788fcf0e9e0049873d.jpg,gingivitis-2153-_jpg.rf.f1e25a39d537d6d141f638a92a903790.jpg,0.8524,gingivitis-230-_jpg,gingivitis-2153-_jpg
gingi-352-copy_jpg.rf.1eecf4db50462a9083e8ca58cca2e38d.jpg,gingi-161-copy_jpg.rf.28742aba667acea6291da2e883b4bc5a.jpg,0.8750,gingi-352-copy_jpg,gingi-161-copy_jpg
gingilagi-2-_jpg.rf.6a5835a8291df930790b19225b4f964c.jpg,gingilagi-105-_jpg.rf.c37e458adf88b3f116c53a102762699a.jpg,0.8772,gingilagi-2-_jpg,gingilagi-105-_jpg
calculus-47-_jpg.rf.9c057284fa8f323382349e47654e6fad.jpg,calculus-1199-_jpg.rf.d04ef3bf421e7bdc6c37973828b41382.jpg,0.8817,calculus-47-_jpg,calculus-1199-_jpg
gingilagi-269-_jpg.rf.fe8e075fd5235ad0a25b8c5518cc1e14.jpg,gingilagi-271-_jpg.rf.fd7b5e502cef1c32ba791072d1d08651.jpg,0.8817,gingilagi-269-_jpg,gingilagi-271-_jpg
gingilagi-251-_jpg.rf.e40005febfa4b347eecd2cce2e44a0e5.jpg,gingilagi-252-_jpg.rf.d1451cc40181cdd37a597a0fb7af9e0d.jpg,0.8949,gingilagi-251-_jpg,gingilagi-252-_jpg
gingilagi-209-_jpg.rf.394b465d595f7fd8e9edfec529842e8a.jpg,gingilagi-210-_jpg.rf.f5a7a474fe3762fd9be1fc6c0b6c02b2.jpg,0.9014,gingilagi-209-_jpg,gingilagi-210-_jpg
gingivitis-197-_jpg.rf.2dc990f827a6e157a03bb570d93353f5.jpg,gingivitis-2285-_jpg.rf.49bf3bbb3cbce8d2938a3e39e0c3593c.jpg,0.9249,gingivitis-197-_jpg,gingivitis-2285-_jpg
gingivitis-2134-_jpg.rf.c751e39ee306a0b626537f6636f46798.jpg,gingivitis-42-_jpg.rf.54c92c291ce298cb7eff5bb8b7843ed8.jpg,0.9354,gingivitis-2134-_jpg,gingivitis-42-_jpg
hypodontia-92-_jpg.rf.071fc8b623e7a51b0e06e249f907393d.jpg,hypodontia-1204-_jpg.rf.09a9f63ce8fed43e2f71c984c065fb87.jpg,0.9561,hypodontia-92-_jpg,hypodontia-1204-_jpg
gingilagi-190-_jpg.rf.270617b223a400acc7c6a56b10531e92.jpg,gingilagi-189-_jpg.rf.2008e0dac9b8d60cc9679baf1ae58568.jpg,0.9763,gingilagi-190-_jpg,gingilagi-189-_jpg
gingilagi-241-_jpg.rf.9adea343f5377d0b26edda016f3cdad1.jpg,gingilagi-242-_jpg.rf.2c4084ce91ac1b739ac8b180af18d10a.jpg,0.9803,gingilagi-241-_jpg,gingilagi-242-_jpg
hypodontia-97-_JPG.rf.f7daf478afd7725a7110b57f709e79b2.jpg,hypodontia-1209-_JPG.rf.615a0f62ff007ec00aec0841f5ca311a.jpg,0.9882,hypodontia-97-_JPG,hypodontia-1209-_JPG
gingilagi-255-_jpg.rf.da1ebb2575e3db398fdae8ce77e980bb.jpg,gingilagi-256-_jpg.rf.3c05f6d9476076015be026f0c25b8184.jpg,1.0000,gingilagi-255-_jpg,gingilagi-256-_jpg
gingivitis-31-_jpg.rf.865f542266a21b73e7036ab4fca2d2f9.jpg,gingivitis-2123-_jpg.rf.a79564f3ab0fe14c248f256ee3525219.jpg,1.0000,gingivitis-31-_jpg,gingivitis-2123-_jpg
