test_image,train_image,matching_transform,thumb_z_rms,full_res_z_rms,pearson_r,verified_full_res
gingilagi-77-_jpg.rf.aa7786346bafbe350ceedbcffc3d6514.jpg,calculus-1268-_jpg.rf.4e2009bbd7239c0119dcb32fb028898b.jpg,identity,0.09073758125305176,0.14988068070324964,0.9887678907759647,yes
-278_jpg.rf.e47a79888890e1e75d72c976c96f6c67.jpg,-21_jpg.rf.8df253d5d9fa58937cf415d44eb00335.jpg,identity,0.09087739139795303,0.21082303456462692,0.9777768240484821,yes
gingilagi-163-_jpg.rf.d4c7bb43f749e3f949b30f7e40527422.jpg,calculus-1268-_jpg.rf.4e2009bbd7239c0119dcb32fb028898b.jpg,hflip,0.09149575233459473,0.15125100555220897,0.988561566659723,yes
calculus-457-_jpg.rf.6d8998fb4f1c966a0a1b86112e8cdbfb.jpg,calculus-313-_jpg.rf.7b748b5e6a2f020fbab12c93714ae6f1.jpg,identity,0.09177674353122711,0.12291987912929854,0.9924453516574184,yes
hypodontia-172-_JPG.rf.349a224de132022dc53adfab060391ca.jpg,hypodontia-33-_JPG.rf.ae6d037b6db87199e9a1f3f1681a5efb.jpg,identity,0.09217076748609543,0.10103995507643355,0.9948954637390767,yes
gingi-359-copy_jpg.rf.a022fa9ef35fb965638f2fe2eefd8332.jpg,gingilagi-210-_jpg.rf.f5a7a474fe3762fd9be1fc6c0b6c02b2.jpg,identity,0.09615608304738998,0.15043002383765444,0.9886854039641028,yes
hypodontia-185-_JPG.rf.9c25e0728677db00ad0fdd9c5ef4ed2e.jpg,hypodontia-741-_JPG.rf.8a24a4c7953e0965708f1884ca8d1c3a.jpg,vflip,0.0969831570982933,0.11335067253042384,0.9935758125184514,yes
gingivitis-288-_jpg.rf.7435e1bb4a7a679c9df140eef15d665e.jpg,gingilagi-131-_jpg.rf.6f2413ecd247c9f08dd4433f068bfa52.jpg,hflip,0.09939012676477432,0.12490249469394953,0.9921996834096146,yes
gingi-624-copy_jpg.rf.55436c4e5f4e4dfd0d896b442b40cc19.jpg,gingilagi-210-_jpg.rf.f5a7a474fe3762fd9be1fc6c0b6c02b2.jpg,hflip,0.10390815138816833,0.17970128139107128,0.9838537247332041,yes
gingivitis-592-_jpg.rf.50b1d956e0a69c35f6be2bc67aa8ac6c.jpg,gingivitis-2166-_jpg.rf.98fbaa3f4a64983737bfb51c9309fd28.jpg,identity,0.10421916842460632,0.16209531988566847,0.9868625536355807,yes
